code_commune,commune,inscrits,abstentions,votants,blancs,nuls,exprimes,annee,taux_abstention
62001,Ablain-Saint-Nazaire,1485,252,1233,21,7,1205,2017,16.969696969696972
62002,Ablainzevelle,183,29,154,5,0,149,2017,15.846994535519126
62003,Acheville,529,66,463,9,3,451,2017,12.476370510396976
62004,Achicourt,5926,1138,4788,71,54,4663,2017,19.203509956125547
62005,Achiet-Le-Grand,710,164,546,12,4,530,2017,23.098591549295776
62006,Achiet-Le-Petit,267,50,217,3,0,214,2017,18.726591760299627
62007,Acq,536,49,487,20,3,464,2017,9.14179104477612
62008,Acquin-Westbécourt,579,58,521,16,9,496,2017,10.01727115716753
62009,Adinfer,195,27,168,8,2,158,2017,13.846153846153847
62010,Affringues,176,15,161,5,2,154,2017,8.522727272727272
62011,Agnez-Lès-Duisans,551,81,470,10,1,459,2017,14.700544464609798
62012,Agnières,169,19,150,0,1,149,2017,11.242603550295858
62013,Agny,1591,279,1312,15,15,1282,2017,17.536140791954747
62014,Aire-Sur-La-Lys,7474,1666,5808,106,58,5644,2017,22.29060743912229
62015,Airon-Notre-Dame,175,13,162,8,0,154,2017,7.428571428571429
62016,Airon-Saint-Vaast,167,15,152,5,2,145,2017,8.982035928143713
62017,Aix-En-Ergny,114,15,99,2,0,97,2017,13.157894736842104
62018,Aix-En-Issart,223,44,179,4,0,175,2017,19.730941704035875
62019,Aix-Noulette,2956,538,2418,11,37,2370,2017,18.200270635994585
62020,Alembon,445,81,364,6,2,356,2017,18.202247191011235
62021,Alette,263,27,236,3,3,230,2017,10.26615969581749
62022,Alincthun,270,47,223,0,4,219,2017,17.40740740740741
62023,Allouagne,2451,486,1965,42,24,1899,2017,19.828641370869033
62024,Alquines,652,109,543,10,5,528,2017,16.717791411042946
62025,Ambleteuse,1577,316,1261,13,24,1224,2017,20.038046924540268
62026,Ambricourt,93,6,87,1,0,86,2017,6.451612903225806
62027,Ambrines,169,21,148,2,4,142,2017,12.42603550295858
62028,Ames,466,62,404,1,5,398,2017,13.304721030042918
62029,Amettes,354,42,312,2,2,308,2017,11.864406779661017
62030,Amplier,224,29,195,2,3,190,2017,12.946428571428573
62031,Andres,1169,255,914,21,10,883,2017,21.813515825491873
62032,Angres,3303,529,2774,53,22,2699,2017,16.015743263699665
62033,Annay,3132,565,2567,41,29,2497,2017,18.039591315453386
62034,Annequin,1745,338,1407,32,0,1375,2017,19.369627507163322
62035,Annezin,4539,966,3573,67,30,3476,2017,21.28222075346993
62036,Anvin,607,118,489,15,4,470,2017,19.43986820428336
62037,Anzin-Saint-Aubin,2394,334,2060,22,12,2026,2017,13.951545530492899
62038,Ardres,3322,666,2656,51,24,2581,2017,20.048163756773025
62039,Arleux-En-Gohelle,714,104,610,15,1,594,2017,14.565826330532214
62040,Arques,7256,1735,5521,87,50,5384,2017,23.91124586549063
62041,Arras,26318,6269,20049,337,170,19542,2017,23.820199103275325
62042,Athies,789,135,654,26,0,628,2017,17.110266159695815
62043,Les Attaques,1416,247,1169,15,10,1144,2017,17.443502824858754
62044,Attin,602,122,480,2,13,465,2017,20.26578073089701
62045,Aubigny-En-Artois,1056,173,883,19,10,854,2017,16.382575757575758
62046,Aubin-Saint-Vaast,569,130,439,12,5,422,2017,22.847100175746924
62047,Aubrometz,125,17,108,2,0,106,2017,13.600000000000001
62048,Auchel,7802,2568,5234,67,45,5122,2017,32.91463727249423
62049,Auchy-Au-Bois,372,44,328,0,8,320,2017,11.827956989247312
62050,Auchy-Lès-Hesdin,1204,282,922,27,10,885,2017,23.421926910299003
62051,Auchy-Les-Mines,3724,824,2900,80,32,2788,2017,22.12674543501611
62052,Audembert,349,50,299,8,1,290,2017,14.326647564469914
62053,Audincthun,528,85,443,5,2,436,2017,16.098484848484848
62054,Audinghen,458,63,395,5,1,389,2017,13.755458515283841
62055,Audrehem,398,73,325,4,2,319,2017,18.341708542713565
62056,Audresselles,648,141,507,13,1,493,2017,21.75925925925926
62057,Audruicq,3894,676,3218,66,31,3121,2017,17.360041088854647
62058,Aumerval,164,14,150,1,3,146,2017,8.536585365853659
62059,Autingues,237,35,202,3,0,199,2017,14.767932489451477
62060,Auxi-Le-Château,2100,470,1630,19,24,1587,2017,22.380952380952383
62061,Averdoingt,212,27,185,4,0,181,2017,12.735849056603774
62062,Avesnes,36,3,33,1,0,32,2017,8.333333333333332
62063,Avesnes-Le-Comte,1481,312,1169,17,11,1141,2017,21.066846725185687
62064,Avesnes-Lès-Bapaume,137,27,110,1,0,109,2017,19.708029197080293
62065,Avion,12361,3143,9218,163,88,8967,2017,25.4267454089475
62066,Avondance,37,10,27,1,0,26,2017,27.027027027027028
62067,Avroult,463,53,410,9,3,398,2017,11.447084233261338
62068,Ayette,286,47,239,5,3,231,2017,16.433566433566433
62069,Azincourt,227,24,203,5,1,197,2017,10.572687224669604
62070,Bailleul-Aux-Cornailles,195,37,158,0,2,156,2017,18.974358974358974
62071,Bailleul-Lès-Pernes,308,33,275,1,13,261,2017,10.714285714285714
62072,Bailleulmont,199,29,170,2,1,167,2017,14.572864321608039
62073,Bailleul-Sir-Berthoult,1092,146,946,24,8,914,2017,13.36996336996337
62074,Bailleulval,179,22,157,3,4,150,2017,12.290502793296088
62075,Baincthun,1094,158,936,14,5,917,2017,14.442413162705666
62076,Bainghen,165,29,136,4,1,131,2017,17.575757575757574
62077,Bajus,280,56,224,3,2,219,2017,20.0
62078,Balinghem,820,147,673,12,3,658,2017,17.926829268292682
62079,Bancourt,63,6,57,1,0,56,2017,9.523809523809524
62080,Bapaume,2126,499,1627,45,9,1573,2017,23.471307619943556
62081,Baralle,406,75,331,12,2,317,2017,18.472906403940886
62082,Barastre,219,43,176,2,1,173,2017,19.63470319634703
62083,Barlin,5882,1637,4245,83,35,4127,2017,27.830669840190414
62084,Barly,183,26,157,2,2,153,2017,14.207650273224044
62085,Basseux,128,12,116,3,1,112,2017,9.375
62086,Bavincourt,275,43,232,2,1,229,2017,15.636363636363637
62087,Bayenghem-Lès-Eperlecques,750,111,639,11,5,623,2017,14.799999999999999
62088,Bayenghem-Lès-Seninghem,245,35,210,7,3,200,2017,14.285714285714285
62089,Bazinghen,308,28,280,6,0,274,2017,9.090909090909092
62090,Béalencourt,106,10,96,1,0,95,2017,9.433962264150944
62091,Beaudricourt,79,6,73,1,0,72,2017,7.59493670886076
62092,Beaufort-Blavincourt,311,43,268,3,2,263,2017,13.826366559485532
62093,Beaulencourt,168,37,131,3,0,128,2017,22.023809523809522
62094,Beaumerie-Saint-Martin,301,31,270,6,2,262,2017,10.299003322259136
62095,Beaumetz-Lès-Aire,182,32,150,5,3,142,2017,17.582417582417584
62096,Beaumetz-Lès-Cambrai,424,85,339,6,0,333,2017,20.047169811320757
62097,Beaumetz-Lès-Loges,746,103,643,12,2,629,2017,13.80697050938338
62099,Beaurains,4365,929,3436,52,39,3345,2017,21.282932416953035
62100,Beaurainville,1619,305,1314,34,5,1275,2017,18.83878937615812
62101,Beauvois,105,21,84,2,0,82,2017,20.0
62102,Bécourt,193,17,176,6,1,169,2017,8.808290155440414
62103,Béhagnies,110,16,94,0,0,94,2017,14.545454545454545
62104,Bellebrune,280,22,258,6,1,251,2017,7.857142857142857
62105,Belle-Et-Houllefort,412,45,367,4,5,358,2017,10.922330097087379
62106,Bellonne,199,31,168,5,2,161,2017,15.577889447236181
62107,Bénifontaine,305,30,275,2,2,271,2017,9.836065573770492
62108,Berck,11049,2800,8249,168,89,7992,2017,25.341659878722055
62109,Bergueneuse,149,22,127,1,3,123,2017,14.76510067114094
62111,Berlencourt-Le-Cauroy,188,19,169,0,1,168,2017,10.106382978723403
62112,Berles-Au-Bois,423,73,350,6,0,344,2017,17.257683215130022
62113,Berles-Monchel,378,48,330,1,4,325,2017,12.698412698412698
62114,Bermicourt,123,17,106,0,3,103,2017,13.821138211382115
62115,Berneville,382,50,332,8,3,321,2017,13.089005235602095
62116,Bernieulles,163,27,136,8,1,127,2017,16.56441717791411
62117,Bertincourt,732,175,557,11,1,545,2017,23.90710382513661
62118,Béthonsart,127,13,114,5,1,108,2017,10.236220472440944
62119,Béthune,17459,5048,12411,218,133,12060,2017,28.9134543788304
62120,Beugin,382,55,327,4,1,322,2017,14.397905759162304
62121,Beugnâtre,117,19,98,2,2,94,2017,16.23931623931624
62122,Beugny,281,53,228,1,2,225,2017,18.86120996441281
62123,Beussent,406,62,344,6,6,332,2017,15.270935960591133
62124,Beutin,329,51,278,7,0,271,2017,15.501519756838904
62125,Beuvrequen,373,49,324,5,2,317,2017,13.136729222520108
62126,Beuvry,7039,1785,5254,95,48,5111,2017,25.35871572666572
62127,Bezinghem,242,29,213,5,4,204,2017,11.983471074380166
62128,Biache-Saint-Vaast,3263,663,2600,43,15,2542,2017,20.318725099601593
62129,Biefvillers-Lès-Bapaume,78,14,64,2,1,61,2017,17.94871794871795
62130,Bienvillers-Au-Bois,495,61,434,11,2,421,2017,12.323232323232324
62131,Bihucourt,259,41,218,1,6,211,2017,15.83011583011583
62132,Billy-Berclau,3586,591,2995,49,22,2924,2017,16.480758505298382
62133,Billy-Montigny,5380,1234,4146,68,33,4045,2017,22.936802973977695
62134,Bimont,111,16,95,0,0,95,2017,14.414414414414415
62135,Blairville,242,26,216,2,0,214,2017,10.743801652892563
62137,Blangerval-Blangermont,87,12,75,3,0,72,2017,13.793103448275861
62138,Blangy-Sur-Ternoise,578,112,466,10,4,452,2017,19.377162629757784
62139,Blendecques,3989,911,3078,55,20,3003,2017,22.837803960892455
62140,Bléquin,392,70,322,5,4,313,2017,17.857142857142858
62141,Blessy,616,91,525,3,5,517,2017,14.772727272727273
62142,Blingel,114,26,88,0,3,85,2017,22.807017543859647
62143,Boffles,31,8,23,2,0,21,2017,25.806451612903224
62144,Boiry-Becquerelle,363,32,331,0,3,328,2017,8.81542699724518
62145,Boiry-Notre-Dame,375,51,324,2,5,317,2017,13.600000000000001
62146,Boiry-Saint-Martin,218,40,178,4,1,173,2017,18.34862385321101
62147,Boiry-Sainte-Rictrude,299,42,257,8,1,248,2017,14.046822742474916
62148,Bois-Bernard,670,117,553,6,5,542,2017,17.46268656716418
62149,Boisdinghem,179,30,149,2,3,144,2017,16.75977653631285
62150,Boisjean,394,27,367,9,0,358,2017,6.852791878172589
62151,Boisleux-Au-Mont,406,48,358,6,6,346,2017,11.822660098522167
62152,Boisleux-Saint-Marc,206,17,189,2,2,185,2017,8.25242718446602
62153,Bomy,483,64,419,8,5,406,2017,13.250517598343686
62154,Bonnières,547,99,448,10,0,438,2017,18.09872029250457
62155,Bonningues-Lès-Ardres,490,61,429,6,4,419,2017,12.448979591836734
62156,Bonningues-Lès-Calais,464,51,413,5,2,406,2017,10.991379310344827
62157,Boubers-Lès-Hesmond,75,6,69,2,0,67,2017,8.0
62158,Boubers-Sur-Canche,470,81,389,12,2,375,2017,17.23404255319149
62160,Boulogne-Sur-Mer,25989,7209,18780,289,150,18341,2017,27.738658663280617
62161,Bouquehault,514,108,406,9,2,395,2017,21.011673151750973
62162,Bourecq,405,49,356,3,2,351,2017,12.098765432098766
62163,Bouret-Sur-Canche,218,23,195,3,1,191,2017,10.550458715596331
62164,Bourlon,842,96,746,18,6,722,2017,11.401425178147269
62165,Bournonville,187,26,161,1,2,158,2017,13.903743315508022
62166,Bours,484,71,413,0,5,408,2017,14.669421487603307
62167,Boursin,180,9,171,3,5,163,2017,5.0
62168,Bourthes,580,74,506,10,14,482,2017,12.758620689655173
62169,Bouvelinghem,169,11,158,2,1,155,2017,6.508875739644971
62170,Bouvigny-Boyeffles,2038,373,1665,43,12,1610,2017,18.30225711481845
62171,Boyaval,96,10,86,3,2,81,2017,10.416666666666668
62172,Boyelles,260,29,231,9,5,217,2017,11.153846153846155
62173,Brebières,3794,721,3073,63,18,2992,2017,19.00369003690037
62174,Brêmes,1013,147,866,15,9,842,2017,14.511352418558737
62175,Brévillers,123,27,96,4,0,92,2017,21.951219512195124
62176,Bréxent-Enocq,545,89,456,8,1,447,2017,16.3302752293578
62177,Brimeux,674,121,553,14,6,533,2017,17.95252225519288
62178,Bruay-La-Buissière,15841,4693,11148,195,109,10844,2017,29.62565494602614
62179,Brunembert,294,37,257,4,4,249,2017,12.585034013605442
62180,Brias,233,26,207,10,3,194,2017,11.158798283261802
62181,Bucquoy,1046,222,824,9,10,805,2017,21.223709369024856
62182,Buire-Au-Bois,193,21,172,3,0,169,2017,10.880829015544041
62183,Buire-Le-Sec,590,121,469,10,9,450,2017,20.508474576271183
62184,Buissy,190,31,159,1,0,158,2017,16.315789473684212
62185,Bullecourt,170,29,141,3,0,138,2017,17.058823529411764
62186,Bully-Les-Mines,9624,2731,6893,126,49,6718,2017,28.37697423108894
62187,Buneville,142,20,122,12,0,110,2017,14.084507042253522
62188,Burbure,2209,304,1905,30,19,1856,2017,13.761883205070166
62189,Bus,93,18,75,1,0,74,2017,19.35483870967742
62190,Busnes,975,124,851,13,9,829,2017,12.717948717948719
62191,Caffiers,440,77,363,4,0,359,2017,17.5
62192,Cagnicourt,297,29,268,6,0,262,2017,9.764309764309765
62193,Calais,50977,14812,36165,614,338,35213,2017,29.05624104988524
62194,Calonne-Ricouart,4404,1184,3220,57,44,3119,2017,26.88465031789282
62195,Calonne-Sur-La-Lys,1226,196,1030,23,6,1001,2017,15.98694942903752
62196,La Calotterie,470,51,419,4,6,409,2017,10.851063829787234
62197,Camblain-Châtelain,1301,314,987,18,7,962,2017,24.135280553420447
62198,Cambligneul,276,39,237,5,1,231,2017,14.130434782608695
62199,Camblain-L'Abbé,499,76,423,4,1,418,2017,15.230460921843688
62200,Cambrin,822,104,718,14,2,702,2017,12.652068126520682
62201,Camiers,2188,436,1752,35,10,1707,2017,19.926873857404022
62202,Campagne-Lès-Boulonnais,443,64,379,1,6,372,2017,14.446952595936793
62203,Campagne-Lès-Guines,364,80,284,4,1,279,2017,21.978021978021978
62204,Campagne-Lès-Hesdin,1171,165,1006,32,12,962,2017,14.090520922288643
62205,Campagne-Lès-Wardrecques,1010,117,893,14,4,875,2017,11.584158415841586
62206,Campigneulles-Les-Grandes,243,43,200,3,1,196,2017,17.695473251028808
62207,Campigneulles-Les-Petites,496,68,428,9,5,414,2017,13.709677419354838
62208,Canettemont,52,4,48,5,0,43,2017,7.6923076923076925
62209,Canlers,123,9,114,1,1,112,2017,7.317073170731707
62210,Canteleux,13,2,11,0,0,11,2017,15.384615384615385
62211,Capelle-Fermont,173,23,150,1,4,145,2017,13.294797687861271
62212,Capelle-Lès-Hesdin,345,37,308,11,2,295,2017,10.72463768115942
62213,Carency,627,95,532,15,5,512,2017,15.151515151515152
62214,Carly,432,48,384,6,6,372,2017,11.11111111111111
62215,Carvin,12785,3020,9765,200,79,9486,2017,23.621431364880717
62216,La Cauchie,158,22,136,1,0,135,2017,13.924050632911392
62217,Cauchy-À-La-Tour,2136,410,1726,37,15,1674,2017,19.194756554307116
62218,Caucourt,264,18,246,6,1,239,2017,6.8181818181818175
62219,Caumont,152,20,132,1,2,129,2017,13.157894736842104
62220,Cavron-Saint-Martin,360,48,312,3,6,303,2017,13.333333333333334
62221,Chelers,217,33,184,4,4,176,2017,15.207373271889402
62222,Chériennes,123,14,109,3,1,105,2017,11.38211382113821
62223,Chérisy,221,17,204,3,3,198,2017,7.6923076923076925
62224,Chocques,2509,573,1936,43,24,1869,2017,22.837783977680353
62225,Clairmarais,499,70,429,5,2,422,2017,14.02805611222445
62227,Clenleu,159,24,135,2,0,133,2017,15.09433962264151
62228,Clerques,232,28,204,7,0,197,2017,12.068965517241379
62229,Cléty,557,61,496,10,6,480,2017,10.951526032315979
62230,Colembert,624,64,560,2,8,550,2017,10.256410256410255
62231,Colline-Beaumont,134,24,110,1,2,107,2017,17.91044776119403
62232,La Comté,653,76,577,14,7,556,2017,11.638591117917304
62233,Conchil-Le-Temple,936,182,754,15,4,735,2017,19.444444444444446
62234,Conchy-Sur-Canche,167,19,148,1,0,147,2017,11.377245508982035
62235,Condette,2219,378,1841,26,5,1810,2017,17.034700315457414
62236,Contes,257,18,239,4,9,226,2017,7.003891050583658
62237,Conteville-Lès-Boulogne,361,25,336,6,1,329,2017,6.9252077562326875
62238,Conteville-En-Ternois,69,11,58,2,0,56,2017,15.942028985507244
62239,Coquelles,2042,399,1643,26,11,1606,2017,19.539666993143975
62240,Corbehem,1611,308,1303,26,7,1270,2017,19.118559900682804
62241,Cormont,240,40,200,4,2,194,2017,16.666666666666664
62242,Couin,88,17,71,1,1,69,2017,19.318181818181817
62243,Coullemont,94,7,87,1,0,86,2017,7.446808510638298
62244,Coulogne,4600,983,3617,56,33,3528,2017,21.369565217391305
62245,Coulomby,541,101,440,14,4,422,2017,18.66913123844732
62246,Coupelle-Neuve,145,23,122,4,1,117,2017,15.862068965517242
62247,Coupelle-Vieille,415,53,362,2,11,349,2017,12.771084337349398
62248,Courcelles-Le-Comte,351,38,313,10,3,300,2017,10.826210826210826
62249,Courcelles-Lès-Lens,4614,1052,3562,61,31,3470,2017,22.800173385348938
62250,Courrières,7876,1994,5882,107,79,5696,2017,25.317420010157438
62251,Courset,404,52,352,6,2,344,2017,12.871287128712872
62252,La Couture,2164,324,1840,30,8,1802,2017,14.972273567467653
62253,Couturelle,67,7,60,1,1,58,2017,10.44776119402985
62254,Coyecques,479,81,398,3,11,384,2017,16.910229645093946
62255,Crémarest,590,77,513,13,6,494,2017,13.050847457627118
62256,Crépy,122,16,106,0,0,106,2017,13.114754098360656
62257,Créquy,381,80,301,11,5,285,2017,20.99737532808399
62258,Croisette,229,31,198,4,3,191,2017,13.537117903930133
62259,Croisilles,1206,129,1077,18,13,1046,2017,10.696517412935323
62260,Croix-En-Ternois,234,42,192,1,0,191,2017,17.94871794871795
62261,Cucq,4245,805,3440,16,54,3370,2017,18.963486454652532
62262,Cuinchy,1298,218,1080,23,7,1050,2017,16.79506933744222
62263,Dainville,4459,725,3734,66,37,3631,2017,16.259250953128504
62264,Dannes,1044,202,842,10,10,822,2017,19.34865900383142
62265,Delettes,872,109,763,13,5,745,2017,12.5
62266,Denier,57,13,44,1,4,39,2017,22.807017543859647
62267,Dennebroeucq,291,33,258,6,1,251,2017,11.34020618556701
62268,Desvres,3488,865,2623,43,32,2548,2017,24.799311926605505
62269,Diéval,577,99,478,6,2,470,2017,17.157712305025996
62270,Divion,5356,1648,3708,52,40,3616,2017,30.76923076923077
62271,Dohem,546,61,485,11,3,471,2017,11.172161172161173
62272,Douchy-Lès-Ayette,226,37,189,4,1,184,2017,16.371681415929203
62273,Doudeauville,426,38,388,8,3,377,2017,8.92018779342723
62274,Dourges,4296,919,3377,30,53,3294,2017,21.39199255121043
62275,Douriez,211,30,181,1,0,180,2017,14.218009478672986
62276,Douvrin,4200,949,3251,66,32,3153,2017,22.595238095238095
62277,Drocourt,2188,526,1662,30,22,1610,2017,24.04021937842779
62278,Drouvin-Le-Marais,448,68,380,4,9,367,2017,15.178571428571427
62279,Duisans,1091,155,936,10,9,917,2017,14.207149404216315
62280,Dury,269,35,234,7,0,227,2017,13.011152416356877
62281,Echinghen,276,28,248,5,0,243,2017,10.144927536231885
62282,Eclimeux,139,23,116,1,1,114,2017,16.546762589928058
62283,Ecoivres,95,13,82,2,0,80,2017,13.684210526315791
62284,Ecourt-Saint-Quentin,1337,242,1095,27,7,1061,2017,18.100224382946898
62285,Ecoust-Saint-Mein,367,39,328,2,2,324,2017,10.626702997275205
62286,Ecquedecques,360,51,309,2,1,306,2017,14.166666666666666
62288,Ecques,1658,231,1427,23,19,1385,2017,13.932448733413752
62289,Ecuires,561,79,482,14,2,466,2017,14.08199643493761
62290,Ecurie,290,32,258,7,1,250,2017,11.03448275862069
62291,Eleu-Dit-Leauwette,2105,480,1625,34,16,1575,2017,22.802850356294538
62292,Elnes,676,106,570,7,7,556,2017,15.680473372781064
62293,Embry,173,21,152,2,0,150,2017,12.138728323699421
62295,Enquin-Lez-Guinegatte,1184,201,983,16,17,950,2017,16.97635135135135
62296,Enquin-Sur-Baillons,163,14,149,2,1,146,2017,8.588957055214724
62297,Eperlecques,2525,417,2108,38,19,2051,2017,16.514851485148515
62298,Epinoy,389,62,327,5,2,320,2017,15.938303341902312
62299,Eps,203,21,182,2,1,179,2017,10.344827586206897
62300,Equihen-Plage,2181,457,1724,37,15,1672,2017,20.953690967446125
62301,Equirre,58,10,48,2,1,45,2017,17.24137931034483
62302,Ergny,167,25,142,6,0,136,2017,14.97005988023952
62303,Erin,166,34,132,0,6,126,2017,20.481927710843372
62304,Erny-Saint-Julien,258,37,221,4,3,214,2017,14.34108527131783
62306,Ervillers,294,47,247,4,3,240,2017,15.98639455782313
62307,Escalles,198,28,170,8,1,161,2017,14.14141414141414
62308,Escoeuilles,364,53,311,7,7,297,2017,14.560439560439562
62309,Esquerdes,1177,186,991,20,11,960,2017,15.80288870008496
62310,Essars,1416,244,1172,14,5,1153,2017,17.231638418079097
62311,Estevelles,1553,301,1252,18,10,1224,2017,19.381841596909208
62312,Estrée,200,24,176,8,1,167,2017,12.0
62313,Estrée-Blanche,706,150,556,10,6,540,2017,21.246458923512748
62314,Estrée-Cauchy,283,40,243,11,6,226,2017,14.13427561837456
62315,Estréelles,275,32,243,6,1,236,2017,11.636363636363637
62316,Estrée-Wamin,167,32,135,3,1,131,2017,19.16167664670659
62317,Etaing,309,47,262,4,2,256,2017,15.210355987055015
62318,Etaples,8177,2112,6065,112,61,5892,2017,25.8285434756023
62319,Eterpigny,214,22,192,3,0,189,2017,10.2803738317757
62320,Etrun,237,26,211,5,0,206,2017,10.970464135021098
62321,Evin-Malmaison,3319,830,2489,41,15,2433,2017,25.00753238927388
62322,Famechon,96,13,83,0,0,83,2017,13.541666666666666
62323,Fampoux,913,115,798,19,4,775,2017,12.595837897042717
62324,Farbus,475,77,398,9,5,384,2017,16.210526315789473
62325,Fauquembergues,675,90,585,15,4,566,2017,13.333333333333334
62326,Favreuil,203,39,164,1,1,162,2017,19.21182266009852
62327,Febvin-Palfart,430,68,362,7,2,353,2017,15.813953488372093
62328,Ferfay,676,86,590,10,3,577,2017,12.721893491124261
62329,Ferques,1454,262,1192,24,12,1156,2017,18.019257221458044
62330,Festubert,1030,182,848,18,5,825,2017,17.66990291262136
62331,Feuchy,858,159,699,15,3,681,2017,18.53146853146853
62332,Ficheux,426,47,379,5,3,371,2017,11.032863849765258
62333,Fiefs,288,46,242,7,1,234,2017,15.972222222222221
62334,Fiennes,676,112,564,10,1,553,2017,16.56804733727811
62335,Fillièvres,356,49,307,6,2,299,2017,13.764044943820226
62336,Fléchin,383,54,329,7,1,321,2017,14.099216710182768
62337,Flers,179,32,147,3,1,143,2017,17.877094972067038
62338,Fleurbaix,2227,263,1964,35,11,1918,2017,11.809609339919174
62339,Fleury,73,19,54,2,0,52,2017,26.027397260273972
62340,Floringhem,595,104,491,11,6,474,2017,17.478991596638654
62341,Foncquevillers,322,30,292,9,3,280,2017,9.316770186335404
62342,Fontaine-Lès-Boulans,81,13,68,1,1,66,2017,16.049382716049383
62343,Fontaine-Lès-Croisilles,199,12,187,8,3,176,2017,6.030150753768844
62344,Fontaine-Lès-Hermans,80,13,67,0,0,67,2017,16.25
62345,Fontaine-L'Etalon,83,9,74,1,0,73,2017,10.843373493975903
62346,Fortel-En-Artois,150,12,138,3,1,134,2017,8.0
62347,Fosseux,114,11,103,1,0,102,2017,9.649122807017543
62348,Foufflin-Ricametz,118,14,104,2,3,99,2017,11.864406779661017
62349,Fouquereuil,1090,144,946,27,14,905,2017,13.211009174311927
62350,Fouquières-Lès-Béthune,843,100,743,18,6,719,2017,11.862396204033216
62351,Fouquières-Lès-Lens,4554,1204,3350,55,32,3263,2017,26.438296003513393
62352,Framecourt,79,7,72,0,1,71,2017,8.860759493670885
62353,Frémicourt,205,47,158,3,0,155,2017,22.926829268292686
62354,Frencq,665,140,525,2,9,514,2017,21.052631578947366
62355,Fresnes-Lès-Montauban,419,44,375,4,4,367,2017,10.501193317422434
62356,Fresnicourt-Le-Dolmen,651,76,575,14,6,555,2017,11.674347158218126
62357,Fresnoy,55,6,49,0,0,49,2017,10.909090909090908
62358,Fresnoy-En-Gohelle,200,42,158,6,1,151,2017,21.0
62359,Fressin,402,46,356,4,0,352,2017,11.442786069651742
62360,Fréthun,1028,197,831,15,4,812,2017,19.16342412451362
62361,Frévent,2429,616,1813,45,13,1755,2017,25.360230547550433
62362,Frévillers,190,29,161,4,0,157,2017,15.263157894736842
62363,Frévin-Capelle,319,36,283,9,0,274,2017,11.285266457680251
62364,Fruges,1455,233,1222,22,18,1182,2017,16.013745704467354
62365,Galametz,129,25,104,4,0,100,2017,19.379844961240313
62366,Gauchin-Légal,290,54,236,1,2,233,2017,18.620689655172416
62367,Gauchin-Verloingt,500,80,420,5,13,402,2017,16.0
62368,Gaudiempré,139,23,116,10,1,105,2017,16.546762589928058
62369,Gavrelle,487,62,425,4,1,420,2017,12.73100616016427
62370,Gennes-Ivergny,106,12,94,0,0,94,2017,11.320754716981133
62371,Givenchy-En-Gohelle,1658,266,1392,31,9,1352,2017,16.043425814234016
62372,Givenchy-Le-Noble,120,20,100,4,1,95,2017,16.666666666666664
62373,Givenchy-Lès-La-Bassée,777,114,663,15,4,644,2017,14.671814671814673
62374,Gomiécourt,133,16,117,4,2,111,2017,12.030075187969924
62375,Gommecourt,91,16,75,2,4,69,2017,17.582417582417584
62376,Gonnehem,1969,318,1651,35,15,1601,2017,16.15033011681056
62377,Gosnay,754,151,603,14,4,585,2017,20.02652519893899
62378,Gouves,163,29,134,5,2,127,2017,17.791411042944784
62379,Gouy-En-Artois,293,39,254,1,4,249,2017,13.310580204778159
62380,Gouy-Servins,255,28,227,1,4,222,2017,10.980392156862745
62381,Gouy-En-Ternois,119,14,105,2,3,100,2017,11.76470588235294
62382,Gouy-Saint-André,526,75,451,25,4,422,2017,14.258555133079847
62383,Gouy-Sous-Bellonne,1078,162,916,14,3,899,2017,15.0278293135436
62384,Graincourt-Lès-Havrincourt,485,87,398,0,7,391,2017,17.938144329896907
62385,Grand-Rullecourt,334,50,284,7,4,273,2017,14.97005988023952
62386,Grenay,4381,1002,3379,48,23,3308,2017,22.871490527276876
62387,Grévillers,295,43,252,0,9,243,2017,14.576271186440678
62388,Grigny,223,34,189,6,0,183,2017,15.246636771300448
62389,Grincourt-Lès-Pas,34,2,32,0,0,32,2017,5.88235294117647
