"code_commune","commune","annee","inscrits","abstentions","votants","blancs","nuls","exprimes","taux_abstention","population","part_jeunes","part_seniors","indice_jeunesse","emploi_total","emploi_moins_25","emploi_25_49","emploi_50_plus","creations_total","creations_industrie","creations_construction","creations_commerce_transport","creations_info_com","creations_finance","creations_immo","creations_services_admin","creations_adm_sante_social","creations_autres_services","nombre_infractions_total","taux_infractions_moyen"
"62001","Ablain-Saint-Nazaire",2017,1485,252,1233,21,7,1205,"16.969696969696972",1772,"27.627798277654914","32.969651018591186","0.8379766671499171","110","15","55","40","7","0","0","2","0","0","0","3","2","0","46","1.7164855133333332"
"62002","Ablainzevelle",2017,183,29,154,5,0,149,"15.846994535519126",222,"39.20704845814977","15.859030837004404","2.472222222222222","15","0","10","5","1","0","1","0","0","0","0","0","0","0","2","0.7461790733333333"
"62003","Acheville",2017,529,66,463,9,3,451,"12.476370510396976",627,"32.78145695364236","24.172185430463582","1.3561643835616428","30","5","20","10","1","0","0","0","0","0","0","1","0","0","14","1.3778480333333334"
"62004","Achicourt",2017,5926,1138,4788,71,54,4663,"19.203509956125547",7799,"35.18591672334478","27.64338882131579","1.272851058558094","700","120","425","150","37","2","3","15","1","0","0","7","7","2","315","2.849340506666666"
"62005","Achiet-Le-Grand",2017,710,164,546,12,4,530,"23.098591549295776",988,"40.64755867570253","18.52205496499626","2.1945490795983464","95","15","60","20","2","0","0","0","0","0","0","0","2","0","22","1.5218721866666667"
"62006","Achiet-Le-Petit",2017,267,50,217,3,0,214,"18.726591760299627",303,"33.118971061093234","24.75884244372993","1.3376623376623358","15","5","10","5","4","4","0","0","0","0","0","0","0","0","5","1.4789602533333333"
"62007","Acq",2017,536,49,487,20,3,464,"9.14179104477612",769,"37.32119635890767","18.725617685305593","1.9930555555555556","25","5","15","5","6","0","0","1","0","0","0","2","2","1","16","1.2681457333333335"
"62008","Acquin-Westbécourt",2017,579,58,521,16,9,496,"10.01727115716753",833,"43.03672286077629","17.772666935540947","2.4215118089403607","45","10","30","5","4","0","1","3","0","0","0","0","0","0","16","1.1939178333333333"
"62009","Adinfer",2017,195,27,168,8,2,158,"13.846153846153847",259,"38","18.8","2.021276595744681","20","5","15","5","2","0","0","0","0","0","0","0","1","1","3","0.9497691466666668"
"62010","Affringues",2017,176,15,161,5,2,154,"8.522727272727272",239,"36.82008368200837","25.10460251046025","1.4666666666666666","10","0","5","0","0","0","0","0","0","0","0","0","0","0","3","0.8697410666666667"
"62011","Agnez-Lès-Duisans",2017,551,81,470,10,1,459,"14.700544464609798",653,"32.00612557427259","27.871362940275652","1.1483516483516483","35","5","25","10","7","0","0","1","0","0","2","3","1","0","14","1.3655849333333334"
"62012","Agnières",2017,169,19,150,0,1,149,"11.242603550295858",249,"39.27125506072879","18.2186234817814","2.155555555555556","10","0","10","0","2","0","1","0","0","0","0","0","0","1","3","0.9962929866666668"
"62013","Agny",2017,1591,279,1312,15,15,1282,"17.536140791954747",1929,"32.907920469599695","24.478948792698645","1.344335524710733","140","15","95","30","15","0","1","6","0","0","0","1","4","3","48","1.6284291999999998"
"62014","Aire-Sur-La-Lys",2017,7474,1666,5808,106,58,5644,"22.29060743912229",9871,"35.67616603025066","26.006508678322536","1.371816819840495","940","175","555","210","68","6","4","29","3","3","3","7","9","4","443","3.1291565599999998"
"62015","Airon-Notre-Dame",2017,175,13,162,8,0,154,"7.428571428571429",223,"36.238532110091775","21.559633027522974","1.6808510638297858","15","0","10","5","0","0","0","0","0","0","0","0","0","0","3","1.4023283666666666"
"62016","Airon-Saint-Vaast",2017,167,15,152,5,2,145,"8.982035928143713",186,"31.052631578947366","25.78947368421054","1.2040816326530606","15","5","5","5","2","0","0","0","0","0","0","0","2","0","1","0.6787868066666668"
