code_commune,commune,population,part_jeunes,part_seniors,indice_jeunesse,annee
62004,Achicourt,7852,31.8559936890882,22.5148370912979,1.14142406568334,2017
6200462041,"Achicourt, Arras",48682,34.0766830016788,20.3457077022748,1.21061443863299,2017
62014,Aire-sur-la-Lys,9947,30.9349593495935,23.739837398374,1.00856164383562,2017
62032,Angres,4100,28.4225445988193,23.9838124291939,0.993292843285527,2017
620406252562765,"Arques, Longuenesse, Saint-Omer",35132,33.3724097088215,19.7820528284857,1.30862275749584,2017
62041,Arras,40830,34.4885359683874,19.9434171301633,1.22510113320316,2017
62048,Auchel,10863,34.4865797119785,24.0314662703716,1.18286179365237,2017
6204862188,"Auchel, Burbure",13892,33.8761518616393,23.8039742883742,1.17109093674396,2017
620486219462555,"Auchel, Calonne-Ricouart, Marles-les-Mines",22158,33.1779119341882,23.8037165447284,1.15992856095388,2017
6204862217,"Auchel, Cauchy-à-la-Tour",13778,34.0973145572862,23.4114356798591,1.20646041105707,2017
62065,Avion,17876,35.477695140144,19.861853208639,1.43426473947639,2017
6206562771,"Avion, Sallaumines",27381,35.6676417774173,19.9669570049534,1.43558918674397,2017
6208362443,"Barlin, Hersin-Coupigny",13692,32.9246920920295,20.1533748019324,1.32400862366914,2017
62119,Béthune,25463,33.4328655964394,20.9722072121902,1.16069927239126,2017
6211962848,"Béthune, Verquin",28899,33.1279179498555,20.6956762055831,1.18691654001563,2017
6212662480,"Beuvry, Labourse",11847,32.7269346027293,21.8441800423037,1.25069367920777,2017
6213362351,"Billy-Montigny, Fouquières-lès-Lens",14701,35.6441354135426,18.6065847359245,1.539523844704,2017
6213362724,"Billy-Montigny, Rouvroy",16817,34.9334825756256,19.9040854697589,1.38422694846922,2017
62160,Boulogne-sur-Mer,42537,35.4315706212491,20.1664995637033,1.3257454793055001,2017
6216062667,"Boulogne-sur-Mer, Le Portel",52169,35.1545968425027,20.5522912417934,1.30815673916664,2017
6216062758,"Boulogne-sur-Mer, Saint-Martin-Boulogne",53860,34.5124968121975,21.0276326452465,1.26217910106092,2017
62178,Bruay-la-Buissière,22802,32.0998654409356,24.1082180064344,1.07662596397328,2017
6217862270,"Bruay-la-Buissière, Divion",29577,32.5665915966085,23.9091223356085,1.10733827013476,2017
6217862400,"Bruay-la-Buissière, Haillicourt",27803,32.5211307972905,23.2476497222416,1.12635663887411,2017
6218662563,"Bully-les-Mines, Mazingarbe",20421,34.3353286187297,21.9902125213358,1.26214141133094,2017
62193,Calais,72520,35.946880850388,18.6769426051652,1.50921896876762,2017
6219462270,"Calonne-Ricouart, Divion",12338,33.1278388413593,23.5637093510858,1.17396517910555,2017
62215,Carvin,16873,32.7516532929084,19.8225599768945,1.3144542929772,2017
62249,Courcelles-lès-Lens,6604,33.8970997267054,19.5764061749838,1.34542317459243,2017
62250,Courrières,10639,32.1594056087186,22.7327821373022,1.14990255493192,2017
622506235162587,"Courrières, Fouquières-lès-Lens, Montigny-en-Gohelle",27354,33.9035462966438,20.5982758784806,1.3379176864073,2017
622766240162464,"Douvrin, Haisnes, Hulluch",12592,32.8731478778873,19.2505513599513,1.38736349452586,2017
6229162498,"Éleu-dit-Leauwette, Lens",34512,33.9170536493741,22.2938611993264,1.18249270799142,2017
62318,Étaples,11158,33.5632727924049,21.1185563640107,1.27894942648231,2017
6238662528,"Grenay, Loos-en-Gohelle",13480,35.6769688576191,19.2300819521425,1.5213931978187198,2017
6240062457,"Haillicourt, Houdain",12474,33.4851051860921,22.1883117606071,1.22640342572387,2017
62413,Harnes,12244,32.8515714995186,22.2328912464796,1.17999815739289,2017
62427,Hénin-Beaumont,26748,33.7435313378414,20.1416724275977,1.3161599961900299,2017
6242762587,"Hénin-Beaumont, Montigny-en-Gohelle",36975,34.0770251188796,20.1111117586258,1.33933681756541,2017
62498,Lens,31647,34.0752616424274,22.6125823304035,1.16581530348847,2017
624986251062528,"Lens, Liévin, Loos-en-Gohelle",69745,34.595647784692304,20.9194532330298,1.30869461859853,2017
624986252362842,"Lens, Loison-sous-Lens, Vendin-le-Vieil",44747,34.1428496194642,21.412412513618,1.24942046645078,2017
62510,Liévin,31517,35.3453534311201,19.0781012532376,1.4896488565755,2017
62516,Lillers,10184,32.5403145530559,21.3418275930719,1.2392723880597,2017
62560,Marquise,5145,35.8547189188826,21.0968917888536,1.42519182632521,2017
62563,Mazingarbe,7743,35.0053361792956,21.1312700106724,1.34090909090909,2017
6257062724,"Méricourt, Rouvroy",20312,34.1037348944361,20.9677135687377,1.3250007368836,2017
6257062771,"Méricourt, Sallaumines",21213,35.0494083789205,20.7193770402667,1.38440197391216,2017
62617,Noeux-les-Mines,12424,31.5066999380911,23.9179807838953,1.05408774529612,2017
62643,Outreau,14390,34.256719056106,20.0184895508022,1.4309239562016,2017
62667,Le Portel,9632,33.9087201932182,22.2876498934183,1.23656921101029,2017
62724,Rouvroy,8604,33.8904363974022,20.6592386258137,1.30112359550562,2017
62737,Sains-en-Gohelle,6363,33.6846000848836,17.50572514616,1.5476916160199399,2017
6275362764,"Saint-Laurent-Blangy, Saint-Nicolas",11271,30.0589303887804,22.3058456099652,1.11996150808693,2017
62765,Saint-Omer,13992,34.6924700160324,18.9336276347381,1.33114776348608,2017
62895,Wingles,8268,34.5666991236611,19.9610516066212,1.4121951219512199,2017
62907,Libercourt,8534,34.5463137996216,21.4083175803398,1.31346578366447,2017
62004,Achicourt,7878,29.7,27.6,0.9,2022
6200462041,"Achicourt, Arras",49433,33,22.6,1.1,2022
62014,Aire-sur-la-Lys,9772,28.5,28.8,0.8,2022
62032,Angres,4613,31.4,24.7,1.1,2022
620406252562765,"Arques, Longuenesse, Saint-Omer",35116,33.9,23.4,1.1,2022
62041,Arras,41555,33.6,21.7,1.2,2022
62048,Auchel,10399,34.5,25.1,1.1,2022
6204862188,"Auchel, Burbure",13244,33.5,25.2,1.1,2022
620486219462555,"Auchel, Calonne-Ricouart, Marles-les-Mines",21480,32.6,25.7,1,2022
6204862217,"Auchel, Cauchy-à-la-Tour",13167,33.6,25.2,1.1,2022
62065,Avion,17583,34.4,22.2,1.3,2022
6206562771,"Avion, Sallaumines",27237,34.1,22.9,1.2,2022
6208362443,"Barlin, Hersin-Coupigny",13866,32.7,23.1,1.2,2022
62119,Béthune,25193,33,23.3,1.1,2022
6211962848,"Béthune, Verquin",28669,32.6,23.7,1,2022
6212662480,"Beuvry, Labourse",12209,31.2,24.3,1.1,2022
6213362351,"Billy-Montigny, Fouquières-lès-Lens",14566,34.6,21.3,1.3,2022
6213362724,"Billy-Montigny, Rouvroy",17079,34.4,21.1,1.4,2022
62160,Boulogne-sur-Mer,40664,32.6,24.2,1,2022
6216062667,"Boulogne-sur-Mer, Le Portel",49821,32.4,24.7,1,2022
6216062758,"Boulogne-sur-Mer, Saint-Martin-Boulogne",51890,31.7,25.2,1,2022
62178,Bruay-la-Buissière,21851,32.4,25.3,1,2022
6217862270,"Bruay-la-Buissière, Divion",28828,32.6,24.9,1.1,2022
6217862400,"Bruay-la-Buissière, Haillicourt",26682,32.5,24.9,1.1,2022
6218662563,"Bully-les-Mines, Mazingarbe",20153,32.8,22.7,1.2,2022
62193,Calais,72929,35.5,21.9,1.2,2022
6219462270,"Calonne-Ricouart, Divion",12497,32.5,24.3,1.1,2022
62215,Carvin,17399,31.4,24,1.1,2022
62249,Courcelles-lès-Lens,7918,37.5,17.4,1.9,2022
62250,Courrières,10544,32.3,24.3,1.1,2022
622506235162587,"Courrières, Fouquières-lès-Lens, Montigny-en-Gohelle",27258,33.3,23.9,1.2,2022
622766240162464,"Douvrin, Haisnes, Hulluch",13353,32.4,22.4,1.2,2022
6229162498,"Éleu-dit-Leauwette, Lens",34486,32.1,25,1,2022
62318,Étaples,10926,31.2,26,1,2022
6238662528,"Grenay, Loos-en-Gohelle",13706,33.7,21.9,1.3,2022
6240062457,"Haillicourt, Houdain",12009,31.8,25.8,1,2022
62413,Harnes,12324,30,27.2,0.9,2022
62427,Hénin-Beaumont,25917,33.1,22.6,1.2,2022
6242762587,"Hénin-Beaumont, Montigny-en-Gohelle",36232,33.5,22.9,1.2,2022
62498,Lens,31606,32.4,24.9,1,2022
624986251062528,"Lens, Liévin, Loos-en-Gohelle",68884,32.9,24.3,1.1,2022
624986252362842,"Lens, Loison-sous-Lens, Vendin-le-Vieil",45528,32.5,23.7,1.1,2022
62510,Liévin,30423,33.7,23.8,1.2,2022
62516,Lillers,9910,33.1,23.9,1.1,2022
62560,Marquise,5064,33.2,24.3,1.1,2022
62563,Mazingarbe,8036,34.6,19.4,1.5,2022
6257062724,"Méricourt, Rouvroy",20258,32.4,24.1,1.1,2022
6257062771,"Méricourt, Sallaumines",21000,32.6,24.9,1.1,2022
62617,Nœux-les-Mines,11813,30.3,27.5,0.9,2022
62643,Outreau,13575,31,25.8,1,2022
62667,Le Portel,9157,31.4,27.1,0.9,2022
62724,Rouvroy,8912,33.1,22.2,1.3,2022
62737,Sains-en-Gohelle,6077,31.3,22.6,1.1,2022
6275362764,"Saint-Laurent-Blangy, Saint-Nicolas",11299,29.8,25.2,1,2022
62765,Saint-Omer,14726,38.1,20.6,1.4,2022
62895,Wingles,8754,33.6,21,1.3,2022
62907,Libercourt,8337,32.7,22.9,1.2,2022
