code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62001,Ablain-Saint-Nazaire,7,0,0,2,0,0,0,3,2,0,2017
62002,Ablainzevelle,1,0,1,0,0,0,0,0,0,0,2017
62003,Acheville,1,0,0,0,0,0,0,1,0,0,2017
62004,Achicourt,37,2,3,15,1,0,0,7,7,2,2017
62005,Achiet-le-Grand,2,0,0,0,0,0,0,0,2,0,2017
62006,Achiet-le-Petit,4,4,0,0,0,0,0,0,0,0,2017
62007,Acq,6,0,0,1,0,0,0,2,2,1,2017
62008,Acquin-Westbécourt,4,0,1,3,0,0,0,0,0,0,2017
62009,Adinfer,2,0,0,0,0,0,0,0,1,1,2017
62010,Affringues,0,0,0,0,0,0,0,0,0,0,2017
62011,Agnez-lès-Duisans,7,0,0,1,0,0,2,3,1,0,2017
62012,Agnières,2,0,1,0,0,0,0,0,0,1,2017
62013,Agny,15,0,1,6,0,0,0,1,4,3,2017
62014,Aire-sur-la-Lys,68,6,4,29,3,3,3,7,9,4,2017
62015,Airon-Notre-Dame,0,0,0,0,0,0,0,0,0,0,2017
62016,Airon-Saint-Vaast,2,0,0,0,0,0,0,0,2,0,2017
62017,Aix-en-Ergny,5,0,1,2,0,0,0,1,0,1,2017
62018,Aix-en-Issart,1,0,0,0,0,0,0,1,0,0,2017
62019,Aix-Noulette,23,3,2,8,1,1,2,1,4,1,2017
62020,Alembon,1,0,0,1,0,0,0,0,0,0,2017
62021,Alette,3,0,0,1,0,0,0,0,1,1,2017
62022,Alincthun,4,0,2,1,0,0,0,1,0,0,2017
62023,Allouagne,12,0,5,2,0,0,0,4,0,1,2017
62024,Alquines,5,1,0,1,0,0,0,1,1,1,2017
62025,Ambleteuse,11,0,0,5,2,0,0,1,3,0,2017
62026,Ambricourt,1,0,0,1,0,0,0,0,0,0,2017
