code_commune,annee,emploi_total,emploi_moins_25,emploi_25_49,emploi_50_plus
33001,2022,195,30,125,40
33002,2022,70,5,45,20
33003,2022,1460,200,900,360
33004,2022,315,45,210,55
33005,2022,800,80,375,350
33006,2022,100,10,50,40
33007,2022,80,5,45,25
33008,2022,30,0,20,10
33009,2022,715,65,365,285
33010,2022,45,5,30,10
33011,2022,430,45,215,170
33012,2022,195,25,105,65
33013,2022,630,75,400,155
33014,2022,85,15,50,25
33015,2022,140,10,85,45
33016,2022,25,0,15,10
33017,2022,20,0,10,5
33018,2022,250,30,140,80
33019,2022,700,70,405,220
33020,2022,10,0,5,0
33021,2022,80,10,50,20
33022,2022,170,15,115,45
33023,2022,80,10,50,25
33024,2022,25,5,15,5
33025,2022,40,10,25,5
33026,2022,40,10,20,10
33027,2022,25,0,15,10
33028,2022,75,10,40,25
33029,2022,300,40,180,80
33030,2022,165,10,110,50
33031,2022,25,5,10,10
33032,2022,830,120,480,225
33033,2022,55,5,30,15
33034,2022,35,5,20,10
33035,2022,60,5,35,25
33036,2022,405,50,235,120
33037,2022,155,20,85,50
33038,2022,80,10,40,30
33039,2022,2960,400,1925,630
33040,2022,115,15,75,25
33042,2022,445,55,275,120
33043,2022,15,0,10,5
33044,2022,15,0,5,5
33045,2022,30,5,15,5
33046,2022,100,10,50,35
33047,2022,135,20,70,45
33048,2022,20,0,15,5
33049,2022,140,20,90,30
33050,2022,60,5,40,15
33051,2022,675,75,380,220
33052,2022,95,15,55,25
33053,2022,15,0,5,5
33054,2022,15,0,10,5
33055,2022,35,5,20,10
33056,2022,1205,160,740,310
33057,2022,90,10,45,30
33058,2022,550,70,330,150
33059,2022,30,5,10,15
33060,2022,45,5,25,15
33061,2022,55,5,35,10
33062,2022,50,10,20,15
33063,2022,26635,3335,17565,5740
33064,2022,5,0,5,0
33065,2022,180,15,115,50
33066,2022,20,0,10,10
33067,2022,220,40,125,55
33068,2022,5,0,5,0
33069,2022,1715,170,1080,465
33070,2022,60,10,45,10
33071,2022,120,10,70,35
33072,2022,25,0,15,5
33073,2022,175,20,115,40
33074,2022,20,0,10,5
33075,2022,1510,170,985,355
33076,2022,60,10,35,20
33077,2022,145,15,80,45
33078,2022,30,0,15,15
33079,2022,25,5,10,10
33080,2022,425,60,275,95
33081,2022,260,25,145,85
33082,2022,95,10,70,20
33083,2022,80,10,45,25
33084,2022,125,10,80,35
33085,2022,170,20,100,50
33086,2022,20,5,10,5
33087,2022,30,5,15,10
33088,2022,55,5,35,15
33089,2022,40,5,20,15
33090,2022,335,35,215,85
